GEOID,place_name,prop_white,med_income_k
06037106408,"Los Angeles, CA",0.027999999999999997,42.143
06037106510,"Los Angeles, CA",0.16699999999999998,82.694
06037106520,"Los Angeles, CA",0.126,59.35
06037106603,"Los Angeles, CA",0.589,99.286
06037106604,"Los Angeles, CA",0.084,49.844
06037106641,"Los Angeles, CA",0.611,108.409
06037106642,"Los Angeles, CA",0.551,82.15899999999998
06037106643,"Los Angeles, CA",0.57,138.71200000000002
06037106645,"Los Angeles, CA",0.6970000000000001,106.519
06037106646,"Los Angeles, CA",0.47200000000000003,84.64299999999999
06037106648,"Los Angeles, CA",0.039,35.99
06037106649,"Los Angeles, CA",0.11599999999999999,77.813
06037107010,"Los Angeles, CA",0.083,54.94
06037107020,"Los Angeles, CA",0.057,61.852
06037108101,"Los Angeles, CA",0.618,111.154
