GEOID,land_area,total_pop,median_age
06037109200,1191362,2673.0,36.7
06037109300,1233087,3512.0,41.1
06037109400,1290844,3563.0,39.7
06037109500,1194583,4834.0,30.0
06037109601,2214563,5285.0,34.0
06037109603,998888,4017.0,40.6
06037109604,1174874,2954.0,40.0
06037109700,1586861,4727.0,34.7
06037109800,1399407,4385.0,40.0
06037111100,1059245,3017.0,42.2
06037111201,1912806,3377.0,52.3
06037111202,1866692,5255.0,38.1
06037111204,3294685,6163.0,45.4
06037111205,1141318,3841.0,37.5
06037111206,2611198,4813.0,44.9
06037111301,2001347,7303.0,37.9
06037111302,1552799,5136.0,34.1
06037111400,1812030,7938.0,38.5
06037113101,2265261,3740.0,48.2
06037113102,3653884,2983.0,47.4
06037113211,7280815,4013.0,49.0
06037113212,998550,3299.0,40.7
06037113213,1300833,4657.0,40.3
06037113231,4121919,2186.0,48.1
06037113232,2065817,4094.0,46.2
06037113233,1143935,7477.0,31.8
06037113234,1013006,4678.0,34.0
06037113235,1433617,1619.0,47.8
06037113237,4736211,4020.0,45.8
06037113301,2269613,2376.0,46.2
06037113303,4073593,4210.0,42.0
06037113321,1048340,5616.0,34.7
06037113322,1786514,3945.0,46.2
06037113401,2451815,5741.0,40.4
06037113421,2196805,6859.0,29.5
06037113422,1522529,6410.0,35.8
06037115101,3882386,5126.0,50.4
06037115103,1518642,2870.0,19.8
06037115104,1020185,4332.0,27.2
06037115201,1366767,6880.0,30.8
06037115202,1737513,4808.0,31.0
06037115301,1621782,4100.0,44.0
06037115302,832983,4234.0,27.9
06037115401,1905154,5751.0,35.1
06037115403,703743,3547.0,30.0
06037115404,946597,3024.0,34.8
06037117101,771814,5112.0,36.3
06037117102,1032683,2692.0,39.0
06037117201,791647,4591.0,29.5
06037117202,1813873,2415.0,42.2
06037117301,1331906,3928.0,39.3
06037117302,2051826,5316.0,38.7
06037117303,1800573,3493.0,40.5
06037117404,1765657,3998.0,41.8
06037117405,201835,3876.0,25.5
06037117407,198334,3501.0,25.7
06037117408,376511,3204.0,25.5
06037117510,330594,4001.0,26.0
06037117520,321695,3708.0,27.7
06037117530,544539,5846.0,27.2
06037119001,1016688,3960.0,34.6
06037119002,1684825,7222.0,34.4
06037119201,947373,4019.0,29.8
06037119202,959100,4538.0,32.6
06037119310,425185,3765.0,34.5
06037119320,486436,4761.0,29.1
06037119340,122149,3752.0,24.6
06037119341,326387,2643.0,32.9
06037119342,219079,3484.0,29.3
06037119400,1117289,5357.0,36.1
06037119700,1288667,4799.0,39.2
06037119800,1236126,6239.0,32.2
06037119900,1052217,5124.0,33.2
06037120010,553982,2896.0,30.3
06037120020,537557,4888.0,28.7
06037120030,358619,2727.0,27.1
06037120103,138490,3218.0,24.2
06037120104,453888,2597.0,27.6
06037120105,550888,2926.0,32.7
06037120106,205874,4499.0,28.8
06037120107,202442,3644.0,25.7
06037120108,376444,4654.0,30.9
06037120300,1718660,5609.0,35.9
06037120400,1065830,6938.0,34.4
06037121010,1929801,4942.0,37.2
06037121020,824523,3641.0,37.6
06037121101,472263,3298.0,33.2
06037121102,7457720,2537.0,41.2
06037121210,1997375,2862.0,36.6
06037121221,504270,2259.0,33.7
06037121222,1334917,4815.0,25.0
06037121600,1139498,2634.0,42.1
06037121801,485688,3463.0,31.1
06037121802,950695,3272.0,41.0
06037121900,1687515,4314.0,35.8
06037122000,2879765,5503.0,40.5
06037122120,719823,4671.0,30.9
06037122121,411960,2950.0,30.6
06037122122,1017271,2238.0,29.0
06037122200,1704848,4633.0,28.9
06037122410,707000,3788.0,30.7
06037122420,862717,5253.0,27.8
06037123010,1015849,4337.0,30.1
06037123020,565646,3460.0,32.2
06037123103,900961,4607.0,35.2
06037123104,781692,4356.0,37.8
06037123203,583709,3715.0,28.5
06037123204,324206,3308.0,32.6
06037123205,757734,2808.0,33.1
06037123206,602850,2852.0,30.9
06037123301,1303486,4536.0,35.2
06037123303,633404,3298.0,32.7
06037123304,879083,4518.0,39.5
06037123410,488725,4091.0,33.7
06037123420,778597,4637.0,31.0
06037123510,788312,4913.0,36.5
06037123520,502130,2550.0,36.2
06037123601,1504232,5386.0,39.5
06037123602,927745,3396.0,37.0
06037123700,952358,4079.0,33.9
06037123800,1290039,5542.0,36.1
06037123901,1291195,4363.0,35.9
06037123902,664412,2541.0,39.0
06037124000,1333422,4897.0,39.6
06037124102,649220,3754.0,30.1
06037124103,323950,2200.0,33.4
06037124104,324444,2626.0,33.0
06037124105,324531,2588.0,33.8
06037124201,972593,3301.0,36.8
06037124203,324261,2657.0,34.4
06037124204,324351,3227.0,32.1
06037124300,891002,3861.0,32.4
06037124400,961439,4080.0,35.4
06037124500,807913,3180.0,37.0
06037124600,1120028,3435.0,37.3
06037124700,1347604,4800.0,36.0
06037124902,338584,2886.0,40.6
06037124903,311404,3522.0,41.6
06037125100,1298672,5953.0,36.6
06037125200,1303249,3959.0,37.1
06037125310,1053719,4863.0,30.3
06037125320,632474,5523.0,29.7
06037125401,397783,3564.0,32.7
06037125402,696295,3851.0,33.3
06037125501,464095,3173.0,33.1
06037125502,522913,3392.0,35.8
06037125600,1022595,2544.0,45.5
06037127102,859240,5371.0,30.5
06037127103,280065,3227.0,29.5
06037127104,707824,3756.0,33.0
06037127210,1539754,5501.0,32.8
06037127220,652901,4906.0,35.2
06037127300,1059237,4527.0,34.9
06037127400,2157571,6121.0,31.3
06037127520,363717,3980.0,29.0
06037127603,431404,2907.0,31.2
06037127604,434538,2822.0,34.8
06037127605,644917,3620.0,31.4
06037127606,543716,3674.0,33.5
06037127711,947638,3539.0,34.3
06037127712,570007,2849.0,39.5
06037127803,640872,3957.0,38.2
06037127804,638158,3952.0,32.6
06037127805,614498,4710.0,32.8
06037127806,683182,3237.0,34.3
06037127910,649792,4833.0,28.7
06037127920,648714,3700.0,35.5
06037128101,648896,3283.0,37.6
06037128102,648807,4626.0,30.5
06037128210,549953,5575.0,28.3
06037128220,555585,3136.0,35.0
06037128302,688873,4957.0,29.1
06037128303,413941,3380.0,28.0
06037128400,1725900,4211.0,39.3
06037128500,973791,4489.0,35.7
06037128601,681886,4264.0,31.2
06037128602,1134339,2962.0,40.4
06037128702,1642311,5632.0,39.7
06037128801,492121,3288.0,38.6
06037128802,971146,4486.0,39.5
06037128910,1298040,3755.0,39.4
06037131010,1056712,6577.0,29.7
06037131020,1428939,5556.0,36.7
06037131100,1101840,3425.0,39.5
06037131200,1128421,3244.0,42.7
06037131300,1118011,4767.0,36.3
06037131400,1107142,6433.0,34.3
06037131600,2184453,5281.0,38.2
06037131701,659667,4842.0,38.6
06037131702,717311,3564.0,36.9
06037131800,1315591,6026.0,34.2
06037131900,1318217,5063.0,34.4
06037132001,968647,3422.0,40.4
06037132002,1600216,3224.0,39.8
06037132101,810523,4397.0,33.1
06037132102,1371328,5330.0,36.7
06037132300,1278601,7036.0,36.3
06037132501,699531,3619.0,46.5
06037132502,614443,4024.0,32.9
06037132700,1310875,5295.0,32.4
06037132900,1184831,3843.0,38.1
06037133000,997188,4850.0,34.3
06037133100,1511321,5879.0,42.5
06037134001,581333,3878.0,31.4
06037134002,740801,3938.0,34.1
06037134101,1065777,5965.0,40.3
06037134103,1040917,4420.0,37.5
06037134104,647979,4182.0,35.2
06037134201,1459395,4406.0,35.7
06037134302,1299630,3702.0,43.3
06037134303,1570730,5636.0,40.9
06037134304,1020439,3018.0,41.0
06037134305,357583,4712.0,29.2
06037134306,619815,3483.0,33.0
06037134421,2134568,3672.0,46.7
06037134422,2338226,4977.0,41.9
06037134423,1560694,3619.0,44.8
06037134424,3710988,2684.0,49.7
06037134520,950602,5175.0,30.6
06037134521,351786,2759.0,27.3
06037134522,615306,3959.0,32.9
06037134710,566354,5881.0,29.0
06037134720,989535,4802.0,34.8
06037134800,1859220,6223.0,36.9
06037134901,1053137,3096.0,39.3
06037134903,564484,5208.0,31.3
06037134904,1031889,4811.0,35.7
06037134905,2586728,3356.0,34.4
06037135102,1653268,3896.0,43.5
06037135111,1026009,3072.0,37.5
06037135113,643609,3087.0,35.5
