GEOID,place_name,land_area,total_pop,median_age,prop_65_older,prop_hispanic,prop_white,prop_black,prop_asian,prop_male,prop_single_fam_detached,med_rooms_in_house,prop_built_before_1940,prop_renting,count_renter_occupied_units,rental_vacancy_rate,renter_household_size,mean_travel_time_work,prop_commute_drive_alone,prop_below_poverty,prop_college_grad_student,prop_nonrelatives_household,prop_same_residence_year_ago,prop_bachelors_or_higher,prop_english_only,prop_foreign_born,distance_to_center_km,pop_density_k_km,renter_occupied_units_km,prop_20_34,prop_burden,median_gross_rent_k,med_income_k,med_home_value_k,prop_white_change_2012_2015
01073005702,"Birmingham, AL",2791816,3502.0,44.9,0.173,0.001,0.008,0.992,0.0,0.445,0.909,5.5,0.106,0.354,497.0,0.114,2.85,25.7,0.758,0.309,0.24,0.043,0.8009999999999999,0.136,0.988,0.003,8.015351332692031,1.254380661189706,178.0203279872313,0.175,0.67,0.787,28.816999999999997,62.5,-0.008
01073005800,"Birmingham, AL",2538262,3747.0,26.1,0.097,0.142,0.3,0.513,0.021,0.442,0.071,4.0,0.01,0.767,1376.0,0.192,2.29,17.1,0.85,0.394,0.701,0.208,0.585,0.321,0.8190000000000001,0.119,4.525366331248468,1.4762069479037232,542.1032186590667,0.462,0.552,0.759,30.809,152.2,0.07199999999999995
01073005903,"Birmingham, AL",7956342,4815.0,42.6,0.139,0.041,0.264,0.6809999999999999,0.01,0.453,0.745,5.9,0.047,0.284,612.0,0.201,1.74,25.6,0.8759999999999999,0.191,0.284,0.05,0.887,0.237,0.941,0.044,15.237255045530349,0.605177605487547,76.91977041710877,0.205,0.523,0.777,43.783,109.6,-0.13699999999999998
01073005905,"Birmingham, AL",5467650,5346.0,34.9,0.13,0.098,0.18,0.711,0.0,0.4320000000000001,0.996,5.9,0.0,0.31,632.0,0.054000000000000006,3.34,23.2,0.878,0.212,0.152,0.018000000000000002,0.928,0.17,0.906,0.046,13.97138027451628,0.9777509533346136,115.5889641802237,0.21,0.55,0.9620000000000001,35.989000000000004,81.5,-0.135
01073005907,"Birmingham, AL",2171471,2167.0,46.5,0.166,0.029,0.233,0.736,0.0,0.375,0.988,6.7,0.006,0.107,91.0,0.0,2.91,24.9,0.871,0.025,0.353,0.021,0.899,0.238,0.946,0.012,16.90898422212478,0.9979410270733524,41.907075894635476,0.185,0.725,1.235,58.788999999999994,120.4,-0.05199999999999999
01073005908,"Birmingham, AL",2938059,3405.0,34.1,0.142,0.076,0.24,0.6759999999999999,0.001,0.425,0.473,5.0,0.0,0.469,680.0,0.324,2.39,24.0,0.91,0.236,0.28300000000000003,0.051,0.853,0.129,0.918,0.062,16.783610347182705,1.1589283945625326,231.44531815052048,0.245,0.551,0.731,37.443000000000005,89.5,-0.05800000000000001
01073005909,"Birmingham, AL",4516001,2526.0,37.5,0.059,0.0,0.104,0.884,0.0,0.466,0.858,6.5,0.068,0.146,137.0,0.103,2.31,25.8,0.95,0.114,0.366,0.078,0.857,0.171,0.954,0.0,13.315025955172267,0.5593444288431291,30.336574327596477,0.236,0.762,0.8690000000000001,56.731,108.5,-0.07399999999999997
01073005910,"Birmingham, AL",7282139,5342.0,36.3,0.078,0.008,0.066,0.917,0.0,0.431,0.6659999999999999,6.3,0.003,0.35600000000000004,743.0,0.108,2.3,27.5,0.8690000000000001,0.194,0.226,0.016,0.8029999999999999,0.25,0.978,0.004,15.040057167960446,0.7335756705550388,102.03046110490337,0.16299999999999998,0.7809999999999999,0.804,48.733000000000004,146.1,-0.003000000000000007
01073010302,"Birmingham, AL",5262546,4298.0,24.8,0.111,0.013,0.011,0.96,0.0,0.449,0.624,5.7,0.111,0.705,1089.0,0.07200000000000001,2.91,21.0,0.807,0.498,0.218,0.016,0.772,0.069,0.976,0.003,16.915024252317632,0.8167149512802357,206.9340581536009,0.183,0.596,0.486,20.408,70.1,0.018000000000000002
01073010500,"Birmingham, AL",3502277,1538.0,37.0,0.105,0.0,0.252,0.7390000000000001,0.0,0.522,0.937,5.6,0.12,0.343,188.0,0.0,2.98,24.6,0.8420000000000001,0.338,0.156,0.018000000000000002,0.79,0.068,0.995,0.014,14.036647077581472,0.4391428776193317,53.679363454118565,0.16399999999999998,0.823,0.68,28.833000000000002,61.2,0.165
